symbol_scope,target,horizon,market_period,threshold,transaction_cost_bps,method,regime_method,score_IC,signal_IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,10,regime_lgbm_kmeans,kmeans,0.0003715525699182097,-0.008700640482831269,0.5582384084710412,0.3793713096144222,-0.92458350022555,-0.8226672401331014,0.09433659553986844,-0.7623391505211415,2136,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,10,regime_lgbm_kmeans,kmeans,0.010509057538835357,-0.01310392862964137,0.5819868342309994,0.3615879591717404,-0.8938295721912654,-0.7612185870774612,0.06328545780969479,-0.7046223835645042,784,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,10,regime_lgbm_vol_bucket,vol_bucket,-0.0019842160448648883,-0.005472521614794038,0.5569830246913581,0.3678924359920577,-0.8202732207638618,-0.8540375121547411,0.08290895061728396,-0.820403690212947,3916,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,10,regime_lgbm_vol_bucket,vol_bucket,-0.0031543835465624977,-0.004310821171994927,0.559231905465288,0.35953856151960856,-0.38838954992680463,-0.5230952674824582,0.07806499261447562,-0.298079489438162,975,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,10,regime_lgbm_vol_bucket,vol_bucket,-0.010030950497632024,-0.013334902330633386,0.5425156425477298,0.3742150929819544,-0.950978948493968,-0.8440524157986643,0.10143590566340446,-0.7694920033508386,2279,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,10,regime_lgbm_vol_bucket,vol_bucket,0.009623572182529837,0.007420351409525039,0.5816876122082585,0.36229413985769865,-0.29561353695424814,-0.6472270887753394,0.05326152004787552,-0.3718104750821458,662,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,20,global_lgbm,none,0.002370356245843793,-0.0008019971596070752,0.5735725308641976,0.36246067190680487,-0.9570651397734867,-0.8071679366797875,0.05030864197530864,-0.7694659386774098,2482,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,20,global_lgbm,none,0.0020630341837073094,0.011042030262347043,0.5806499261447563,0.35775316431901255,-0.14158958735697555,-0.3486737368028746,0.04239290989660266,-0.11294560290912148,551,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,20,global_lgbm,none,-0.002675696715294732,-0.013912863441886332,0.5599229905342532,0.36705423324295533,-1.3578412604801637,-0.812013989096783,0.06569870046526552,-0.8057478235748674,1542,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,20,global_lgbm,none,0.0036620938311583214,0.013602518082675565,0.5918611609814483,0.3569792212645064,-0.6177353675067128,-0.5738488079197763,0.0296229802513465,-0.41703481420863686,389,6684
