method,regime_method,regime,feature,feature_family,mean_gain_share,std_gain_share,mean_split_share,mean_shap_share,folds_seen,mean_train_rows,rank_within_model_regime
regime_lgbm_hmm,hmm,1,ret_autocorr,momentum,0.0644218851864923,0.010401484935736106,0.06536140764582075,0.05393228638976624,18,5126.055555555556,6
regime_lgbm_hmm,hmm,1,ret_dispersion,momentum,0.042463714423971455,0.006562365014277915,0.0466429918763585,0.03186429858615384,18,5126.055555555556,15
regime_lgbm_hmm,hmm,1,rsi_14,technical_state,0.03714311353746305,0.0113239104262105,0.03754315540952311,0.033813395522005414,18,5126.055555555556,14
regime_lgbm_hmm,hmm,1,skewness,distribution_shape,0.06456434438642804,0.00856747944526296,0.06480959376185359,0.05235009465822791,18,5126.055555555556,7
regime_lgbm_hmm,hmm,1,spread_proxy,microstructure,0.02326606323944619,0.006844885130342446,0.026924111499409945,0.030093769083584743,18,5126.055555555556,16
regime_lgbm_hmm,hmm,1,vol_20h,volatility,0.11362039676891038,0.02421601355543711,0.07878781522143573,0.13768502450712514,18,5126.055555555556,1
regime_lgbm_hmm,hmm,1,vol_5h,volatility,0.03959820573585688,0.006260974260396453,0.045525314370713395,0.04047777423302394,18,5126.055555555556,9
regime_lgbm_hmm,hmm,1,vol_of_vol,volatility,0.08287129334072157,0.015466223522548183,0.07430369174449399,0.07952898633930376,18,5126.055555555556,2
regime_lgbm_hmm,hmm,1,volume_zscore,liquidity_volume,0.03411815300414196,0.009236121643261696,0.036707331119663164,0.0388105593062606,18,5126.055555555556,12
regime_lgbm_hmm,hmm,2,amihud,liquidity_volume,0.029521608633276686,0.008321938000434818,0.034613126691951726,0.041550284959944755,18,4905.611111111111,9
regime_lgbm_hmm,hmm,2,atr_14,volatility,0.07479186638429756,0.022357412173589667,0.06924813922718043,0.06063570733241398,18,4905.611111111111,4
regime_lgbm_hmm,hmm,2,bband_pct_b,technical_state,0.02740115674495371,0.004897434340572675,0.03045093519196788,0.02952885354396445,18,4905.611111111111,17
regime_lgbm_hmm,hmm,2,close_vs_vwap,momentum,0.03139275440619053,0.006450078004757539,0.034173541604155186,0.03839257182647541,18,4905.611111111111,12
