method,regime_method,target,horizon,symbol,IC,signal_IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,SOLUSDT,-0.01009667153096316,-0.006801099401216976,0.5657986111111111,0.35244820826721807,-0.5309457101447385,-0.8394984369179636,0.03975694444444444,-0.7239874456946513,891,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,TONUSDT,0.01777090891938566,-0.0029665117703329396,0.5637152777777777,0.35806971003668786,-0.7068900029462882,-0.9002321577453458,0.051909722222222225,-0.8018716960623083,1146,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,TRXUSDT,0.012502375147882194,0.007789054436932622,0.5020833333333333,0.3673192171512993,-0.37293464487456,-0.8106078501667575,0.09444444444444444,-0.5068725201337698,2073,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,UNIUSDT,0.022372320422791383,0.0056138805460303354,0.5735243055555556,0.35072090056463695,0.247445206635107,-0.8017071410132851,0.03268229166666667,0.38762775810312156,735,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,XRPUSDT,0.038388966075991154,0.011745712808497486,0.5712673611111111,0.36298056878116963,0.237609092270138,-0.7316473821675938,0.04921875,0.34901988462096467,1097,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,ADAUSDT,0.04493044312622698,0.009988205963896695,0.5727430555555556,0.34511785003600554,0.07339257128197921,-0.7195898395312236,0.028819444444444446,-0.07643625075685645,656,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,APTUSDT,0.004785754870699068,0.0009383155719766036,0.5576388888888889,0.3422643889410368,-0.24282088203045496,-0.7798346141152194,0.027256944444444445,-0.5131726022468126,616,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,AVAXUSDT,0.00910181568575167,0.0017640236192637052,0.5665798611111111,0.3496312922047387,0.01114240904139812,-0.5378190071831802,0.03446180555555556,-0.20847463695543889,776,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,BCHUSDT,0.028890261166489756,0.021564562282811717,0.5795138888888889,0.34924421369270475,0.32161096740282524,-0.5491896395609223,0.03185763888888889,0.5314653748749734,715,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,BNBUSDT,0.004434124555001354,0.01705060312541346,0.5559027777777777,0.3609098721751131,0.30974843485455367,-0.641478406892581,0.053559027777777775,0.4480938160671404,1178,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,BTCUSDT,0.0008342228408216598,-0.015095557660002002,0.5693576388888889,0.3642634850593127,-1.3747742273103474,-0.8925107451941405,0.06002604166666667,-0.886199399444638,1289,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,DOGEUSDT,0.04107193674700022,0.03649164485904101,0.5688368055555556,0.35222536636676255,0.7753408112272735,-0.4504605161910323,0.03107638888888889,4.047586978742175,705,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,DOTUSDT,-0.0010201927507312773,-0.0029994272911559685,0.5767361111111111,0.34779609735232375,-0.3094707994887402,-0.8246970464501343,0.029861111111111113,-0.5730152426988286,680,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,ETCUSDT,0.025660329707454115,0.02690964111509323,0.5649305555555556,0.35002780026881597,0.7843350728270283,-0.5736607773713376,0.03888888888888889,3.365892013479053,879,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,ETHUSDT,0.09735990882135204,0.025875143533636572,0.5848090277777778,0.355353916791749,0.2128316534689179,-0.5593671602747323,0.030555555555555555,0.2447975947687273,686,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,ICPUSDT,0.04582152093976233,0.007596823141987372,0.5666666666666667,0.3457117360683552,0.14224727514459545,-0.7670022328851178,0.02456597222222222,0.10116281192306964,557,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,LINKUSDT,0.013517023711944949,0.007777481213303988,0.5736111111111111,0.3465842044858543,0.11426636305966822,-0.729229269979699,0.03550347222222222,0.025246941980584525,801,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,LTCUSDT,0.010275989337793688,0.002364633894017246,0.5734375,0.34204370448041294,-0.1061402962540815,-0.6387363255805832,0.029730902777777776,-0.2981881361692721,672,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,NEARUSDT,0.024824047673619502,0.01068567434760417,0.5574652777777778,0.3446800375937924,0.1308125668330212,-0.7003399554676856,0.025607638888888888,0.06194740144933286,582,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,SHIBUSDT,0.031475921257726955,0.024211943805739242,0.5730034722222223,0.35212007227743486,0.38783343553403293,-0.6924104287196876,0.03802083333333333,0.9089630264283852,849,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,SOLUSDT,-0.004131126310179859,-0.007568980108016269,0.5627604166666667,0.34556653876332466,-0.43397570600838925,-0.854851347542064,0.03454861111111111,-0.6460472393758819,774,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,TONUSDT,0.02334834708980851,0.0048708643665269,0.5666666666666667,0.355543739567278,0.10179727754366903,-0.6772593758412717,0.04314236111111111,0.004873989850614713,977,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,TRXUSDT,0.0031170572221354853,0.013890904656068653,0.5083333333333333,0.3645752740334241,-0.32239641342775227,-0.8033241648756531,0.08550347222222222,-0.4457345982432289,1912,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,UNIUSDT,0.019212373190695017,0.00266307643559159,0.5721354166666667,0.34460687228049586,-0.09403946083318658,-0.7317194770513088,0.03042534722222222,-0.42846707361487013,689,11520
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,XRPUSDT,0.027006214332525178,0.009197675380031746,0.5699652777777777,0.3579636012274805,0.18143007600648361,-0.7588750123342191,0.0421875,0.18301251555134246,954,11520
