method,regime_method,target,horizon,fold,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,accuracy,balanced_accuracy
regime_lgbm_hmm,hmm,tb_label_8h,8h,5,0.01647693004488211,0.01647693004488211,0.015429172224567718,-0.04065988803385289,-0.0354312904230005,0.023099784555473866,0.02956863413075292,20,720,0.3535210422549251,-0.017985484070444674,0.06166666666666667,0.0018256401596592475,216,90,0,14400,0.5768055555555556,0.36841380272702634
regime_lgbm_hmm,hmm,tb_label_8h,8h,6,0.0021276452776990817,0.0021276452776990817,0.004972496481925052,0.009585536857459895,0.0065153866942784825,0.008461502216941624,0.0061300989082157835,20,720,0.11150788246991894,-0.009197136676191228,0.03277777777777778,0.00024066192690175292,112,90,0,14400,0.5627083333333334,0.3496111556558739
regime_lgbm_hmm,hmm,tb_label_8h,8h,7,-0.06824589357707485,-0.06824589357707485,-0.07799820660415124,-0.02159964809522387,-0.024867644624840455,-0.06726773031750616,-0.020159189857620285,20,720,-6.837212738160627,-0.023458495574084692,0.044444444444444446,-0.022058420108163168,156,90,0,14400,0.5657638888888888,0.347711452324807
regime_lgbm_hmm,hmm,tb_label_8h,8h,8,0.02898363824593513,0.02898363824593513,0.04366561931083769,-0.003987467996061699,0.01607521939602931,0.029470798939693357,0.03940952070369672,20,720,2.6774007945758838,-0.014523551834672981,0.0725,0.012970165884701013,253,90,0,14400,0.565625,0.3634776819265402
regime_lgbm_hmm,hmm,tb_label_8h,8h,9,0.0593949741493985,0.0593949741493985,0.05567209123608291,0.06155904587507563,0.06493890106913205,0.05871145782211905,0.02643599747515609,20,720,1.5094825552898992,-0.013063969186396907,0.04055555555555555,0.006569589541571608,144,90,0,14400,0.5716666666666667,0.3445378853242204
regime_lgbm_hmm,hmm,tb_label_8h,8h,10,-0.07235850961603017,-0.07235850961603017,-0.08832447133619462,-0.0008876925808649109,-0.007272314799481955,-0.06832859883827776,-0.000150595863740232,20,720,-4.005523837386396,-0.013413969008563736,0.04527777777777778,-0.010127918373044165,158,90,0,14400,0.598125,0.35254922591938626
regime_lgbm_hmm,hmm,tb_label_8h,8h,11,-0.037748562972433064,-0.037748562972433064,-0.04911353097379048,-0.014084957340015528,-0.02780784369478302,-0.03363184237318951,-0.004523260830939864,20,720,3.64948293265779,-0.012621617639759348,0.07944444444444444,0.019025391922650403,274,90,0,14400,0.5811111111111111,0.37237187103903097
regime_lgbm_hmm,hmm,tb_label_8h,8h,12,-0.041857618766800886,-0.041857618766800886,-0.033345749805470594,0.00910606871895311,0.0025307030653665746,-0.0316900767538302,0.03982582928547314,20,720,-2.6492506775116627,-0.034113620567504714,0.07833333333333334,-0.017023081771731174,274,90,0,14400,0.5807638888888889,0.3688986059548052
regime_lgbm_hmm,hmm,tb_label_8h,8h,13,-0.07417681216292048,-0.07417681216292048,-0.07787189685117471,0.008592520968573875,0.0012496942377233167,-0.06651659705692034,-0.0021383842301827536,20,720,-3.5478474942679896,-0.02541983023558881,0.04777777777777778,-0.016229805371387185,165,90,0,14400,0.5618055555555556,0.35463285126765703
regime_lgbm_hmm,hmm,tb_label_8h,8h,14,0.0064394900639068746,0.0064394900639068746,0.0146420975365096,0.008556091391611474,0.010485708008560395,-0.0017883384359557136,0.0034442250313234807,20,720,3.085400864032854,-0.006504126738606335,0.035833333333333335,0.017232138237098127,124,90,0,14400,0.5595833333333333,0.3461132020357733
regime_lgbm_hmm,hmm,tb_label_8h,8h,15,-0.0500466027385287,-0.0500466027385287,-0.06718212079872846,0.0224305932090059,0.0010109809581281294,-0.021086411579721624,-0.013250908685970005,20,720,-6.475661273190862,-0.036010690920740794,0.13694444444444445,-0.0291677014167373,443,90,0,14400,0.5696527777777778,0.37985627502109026
