comparison,metric,direction,mean_difference,cohen_dz,effect_size,primary_p_value,bh_q_by_metric,holm_p_by_metric,bh_q_all_tests,holm_p_all_tests,claim_status,p_value_source,n_paired_folds,n_paired_rows
regime_lgbm_hmm_guided_hmm vs regime_lgbm_contrastive_hmm,Sharpe,method_better,0.12166037616814247,0.09713422329925384,tiny,0.7030779303641002,0.8321360902194904,1.0,0.87271240411933,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_kmeans,Sharpe,reference_better,-0.10639744307279628,-0.09531015506437271,tiny,0.7083704578890666,0.8321360902194904,1.0,0.87271240411933,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs global_lgbm,Sharpe,reference_better,-0.09991137611757447,-0.0907717328763851,tiny,0.7216057257834136,0.8321360902194904,1.0,0.8783655745223464,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_hmm,Sharpe,method_better,0.07097787945660017,0.07895616527877714,tiny,0.7564873547449913,0.8321360902194904,1.0,0.8961465586979127,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive_hmm vs regime_lgbm_hmm,Sharpe,reference_better,-0.05068249671154232,-0.056268689036854565,tiny,0.8249586414815958,0.8497580400995322,1.0,0.9295731157407998,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive_hmm vs regime_lgbm_kmeans,Sharpe,method_better,0.06278114412560662,0.048181709027724735,tiny,0.8497580400995322,0.8497580400995322,1.0,0.9347338441094855,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs global_lgbm,Sharpe,reference_better,-0.4490152099201512,-0.562340280916822,medium,0.03993698719900406,0.5396275411805425,0.8786137183780894,0.1500072202108933,1.0,raw_only_suggestive,paired_t,16.0,
regime_lgbm_contrastive vs regime_lgbm_hmm,nll_loss,method_better,-0.0014703960223043276,,row_loss,0.20466124728261878,0.26485573177750665,1.0,0.5083521303471499,1.0,not_significant,dm_newey_west,,230400.0
regime_lgbm_contrastive vs regime_lgbm_kmeans,nll_loss,method_better,-0.0014206360523620041,,row_loss,0.23299588005342559,0.28477274228752014,1.0,0.5520210081265775,1.0,not_significant,dm_newey_west,,230400.0
regime_lgbm_vol_bucket vs regime_lgbm_contrastive_hmm,nll_loss,reference_better,0.0014284433332018111,,row_loss,0.3557300818395801,0.4118979894984612,1.0,0.7114601636791602,1.0,not_significant,dm_newey_west,,230400.0
regime_lgbm_hmm_guided_gmm vs regime_lgbm_contrastive_hmm,nll_loss,reference_better,0.0010896672526980772,,row_loss,0.493738760764022,0.5431126368404242,1.0,0.7989023073844788,1.0,not_significant,dm_newey_west,,230400.0
