method,symbol,n_rows,n_regimes,avg_regime_duration,transition_diagonal_probability,regime_entropy,dominant_regime_pct,avg_forward_return_8h,avg_vol_adj_return_8h,simple_feature_ic
kmeans,BTCUSDT,18623,4,7.5549695740365115,0.5269426765434024,0.28310897639218224,0.8965258014283413,0.00010880300884837763,0.00348747724299234,0.025555240472480763
kmeans,DOGEUSDT,17436,3,4.266209933936873,0.7473310413352258,0.7333724701618121,0.5240307409956412,0.0001916773629180712,-0.006522108142278035,0.032311967065019036
kmeans,DOTUSDT,17436,3,4.09584214235377,0.73058902423797,0.7129923915379327,0.5578114246386786,-0.0004922696258668304,-0.025587071517927676,0.032412364329240266
kmeans,ETCUSDT,17436,3,4.463901689708141,0.7254816318373819,0.6563297909073248,0.6281830695113558,-0.0002850439575434691,-0.028087074702528234,0.05896087725839841
kmeans,ETHUSDT,18623,3,5.110592755214051,0.7473104107237892,0.6288527375651403,0.6577350587982602,-6.500730909253676e-05,-0.010651247495870242,0.028419124160437334
kmeans,ICPUSDT,17436,3,3.8211702827087444,0.7291552064210028,0.7591101702913564,0.47568249598531775,-0.00011985941647969744,-0.01490852463597754,0.01609965191361689
kmeans,LINKUSDT,17436,3,4.101623147494707,0.7397211929247001,0.7359478117906865,0.5167469603119982,9.2396061577873e-05,0.0049145352709509356,0.029143659164472646
kmeans,LTCUSDT,17436,3,4.682062298603652,0.7359811798600652,0.6511583122237349,0.6353521449873825,2.453776959105648e-05,-0.00861147424636999,0.06455701572675149
kmeans,NEARUSDT,17436,3,3.8893598037028774,0.7394491572388545,0.7764614081788989,0.4227460426703372,5.718874092693691e-05,0.00610209686600126,0.008134416856027121
kmeans,SHIBUSDT,17436,3,4.4857216362233086,0.734413693251215,0.678553332475929,0.6078802477632484,-0.0003164860355703076,-0.028533360594802718,0.055595270581130216
kmeans,SOLUSDT,17436,3,4.3655483224837255,0.7444498296625218,0.7082185013807046,0.5623422803395274,-4.2672735498725245e-05,-0.007551368763823894,0.020521822634604434
kmeans,TONUSDT,16128,3,4.54950634696756,0.7274999973467485,0.6540935918671578,0.6331845238095238,-0.0003869301552367612,-0.04407496149440593,0.0437336187720097
kmeans,TRXUSDT,17436,3,8.661698956780924,0.7082314703052678,0.3655236941645232,0.8533493920623997,0.0005825538274931248,0.07499141575651203,0.04137214660639149
kmeans,UNIUSDT,17436,3,3.967235494880546,0.7391543017468933,0.7588684837089494,0.47528102775866027,-0.00020164198095966275,-0.013616465623582522,0.05068522821617198
kmeans,XRPUSDT,17436,3,5.033487297921478,0.7518226658145859,0.6556782403016198,0.6280110116999312,0.000698589626924586,0.003966995271893735,0.030512834820351338
vol_bucket,ADAUSDT,17436,4,10.86355140186916,0.9079987510345315,1.0,0.25,3.2940457284886396e-05,-0.010409952593933224,0.02704357428192127
vol_bucket,APTUSDT,17436,4,10.107826086956521,0.9011200971419926,1.0,0.25,-0.0006925528736013306,-0.02406910169260468,0.024764323895641736
vol_bucket,AVAXUSDT,17436,4,9.77902411665732,0.8977935013577749,1.0,0.25,-0.0003071259045935929,-0.008349273926498276,0.01564253186925258
vol_bucket,BCHUSDT,17436,4,10.723247232472325,0.9067945832400267,1.0,0.25,-4.173542673578634e-05,-0.02349606672221309,0.04893417063904477
vol_bucket,BNBUSDT,17436,4,11.344176968119713,0.9119033341998077,1.0,0.25,0.0001400352679969524,0.013810971908857314,0.048935838207386846
