method,regime_method,target,horizon,symbol,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,accuracy,balanced_accuracy
global_lgbm,none,tb_label_8h,8h,SHIBUSDT,-0.0034336936702922586,-0.0034336936702922586,-0.0034336936702922586,,,-0.0034336936702922534,0.023173863006279542,1,0,0.23678136953719237,-0.09783032568206122,0.03333333333333333,0.02993800329983798,94,1440,0,11520,0.5771701388888889,0.34956119340815167
global_lgbm,none,tb_label_8h,8h,SOLUSDT,-0.0334597666371609,-0.0334597666371609,-0.0334597666371609,,,-0.033459766637160895,0.012162263333330278,1,0,1.3179736813400367,-0.0776923104284472,0.058333333333333334,0.3362060375511624,164,1440,0,11520,0.5690972222222223,0.35607824215062883
global_lgbm,none,tb_label_8h,8h,TONUSDT,0.025837441982729678,0.025837441982729678,0.025837441982729678,,,0.02583744198272969,0.014176508796639963,1,0,0.5356078817691944,-0.24654842494301715,0.060069444444444446,0.13335007407154453,169,1440,0,11520,0.5730034722222223,0.3596706622192139
global_lgbm,none,tb_label_8h,8h,TRXUSDT,-0.011691665225950675,-0.011691665225950675,-0.011691665225950675,,,-0.011691665225950689,0.014426466938661972,1,0,-0.37901080937915216,-0.14965169191702843,0.1,-0.05682995496039367,272,1440,0,11520,0.5170138888888889,0.36438013346636233
global_lgbm,none,tb_label_8h,8h,UNIUSDT,-0.03356881419863376,-0.03356881419863376,-0.03356881419863376,,,-0.033568814198633765,-0.0037575610597901047,1,0,-0.34813566711435934,-0.1341708148193488,0.029861111111111113,-0.05159193375882376,85,1440,0,11520,0.575,0.34741419635874476
global_lgbm,none,tb_label_8h,8h,XRPUSDT,0.009876113780416126,0.009876113780416126,0.009876113780416126,,,0.009876113780416128,-0.001045534656103626,1,0,0.6610995057306516,-0.09906721760852111,0.07256944444444445,0.1252525733292047,202,1440,0,11520,0.5699652777777777,0.35753929529755807
regime_lgbm_hmm,hmm,tb_label_8h,8h,ADAUSDT,-0.007889396581500391,-0.007889396581500391,-0.007889396581500391,,,-0.007889396581500377,0.009011737207894664,1,0,-1.106220901878582,-0.2688136727414956,0.03888888888888889,-0.218055767782516,110,1440,0,11520,0.5728298611111111,0.34938656774801347
regime_lgbm_hmm,hmm,tb_label_8h,8h,APTUSDT,-0.02458541803101358,-0.02458541803101358,-0.02458541803101358,,,-0.024585418031013575,-0.005865231664333282,1,0,0.45850951147567665,-0.11139415302893138,0.03333333333333333,0.08489682314780067,96,1440,0,11520,0.5605034722222222,0.34369365118469264
regime_lgbm_hmm,hmm,tb_label_8h,8h,AVAXUSDT,-0.03228295021121853,-0.03228295021121853,-0.03228295021121853,,,-0.03228295021121849,0.008844783908996333,1,0,0.47792041113562,-0.20846661444874143,0.05659722222222222,0.1110364743734249,158,1440,0,11520,0.5724826388888888,0.3580041806330243
regime_lgbm_hmm,hmm,tb_label_8h,8h,BCHUSDT,-0.017719841528564578,-0.017719841528564578,-0.017719841528564578,,,-0.017719841528564595,0.013546043139274214,1,0,1.3315727749761932,-0.10282206376339136,0.040625,0.257594010298988,114,1440,0,11520,0.5801215277777778,0.34662722991552136
regime_lgbm_hmm,hmm,tb_label_8h,8h,BNBUSDT,-0.014582010263597926,-0.014582010263597926,-0.014582010263597926,,,-0.014582010263597922,0.00977872477799479,1,0,-2.2108659833353648,-0.36897185061143717,0.103125,-0.35228806091194453,279,1440,0,11520,0.5609375,0.37315401534629555
regime_lgbm_hmm,hmm,tb_label_8h,8h,BTCUSDT,0.02190891513508151,0.02190891513508151,0.02190891513508151,,,0.021908915135081506,0.01661956040378725,1,0,-0.8545938837663591,-0.2045407323205297,0.09131944444444444,-0.16047270729258478,248,1440,0,11520,0.5780381944444445,0.37819308708927313
regime_lgbm_hmm,hmm,tb_label_8h,8h,DOGEUSDT,0.00023424271767960212,0.00023424271767960212,0.00023424271767960212,,,0.00023424271767961705,0.01671974617010727,1,0,0.8670745882647009,-0.18150699354313857,0.05173611111111111,0.2174099503464899,147,1440,0,11520,0.5721354166666667,0.3557571660171431
regime_lgbm_hmm,hmm,tb_label_8h,8h,DOTUSDT,-0.036621362547202635,-0.036621362547202635,-0.036621362547202635,,,-0.03662136254720264,0.0061297863236733415,1,0,-1.5632224742000502,-0.3409216100987089,0.043055555555555555,-0.28696609390007133,124,1440,0,11520,0.5766493055555556,0.3523265275424709
regime_lgbm_hmm,hmm,tb_label_8h,8h,ETCUSDT,-0.023501659569427697,-0.023501659569427697,-0.023501659569427697,,,-0.023501659569427697,-0.0008460098379365646,1,0,-1.8918248038933922,-0.30071600420822997,0.06875,-0.2806439330591385,190,1440,0,11520,0.5650173611111111,0.3532058948818069
regime_lgbm_hmm,hmm,tb_label_8h,8h,ETHUSDT,-0.010084936034338405,-0.010084936034338405,-0.010084936034338405,,,-0.01008493603433841,0.004500303901947145,1,0,-1.9745450779392812,-0.32010877979955854,0.06597222222222222,-0.32010877979955854,184,1440,0,11520,0.5831597222222222,0.35886924596652614
regime_lgbm_hmm,hmm,tb_label_8h,8h,ICPUSDT,-0.005919753946852313,-0.005919753946852313,-0.005919753946852313,,,-0.0059197539468523195,-0.0025163262093970155,1,0,-0.6468825962805095,-0.22014754241939907,0.03680555555555556,-0.15598395368356455,102,1440,0,11520,0.5630208333333333,0.3468234828338151
regime_lgbm_hmm,hmm,tb_label_8h,8h,LINKUSDT,-0.031730434152577404,-0.031730434152577404,-0.031730434152577404,,,-0.03173043415257739,-0.0021570593975104393,1,0,0.31581759135925996,-0.2104090995943973,0.06875,0.05918513896831157,188,1440,0,11520,0.5756076388888889,0.3599869418114003
