benchmark,method,threshold,transaction_cost_bps,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,signal_IC,n_test_rows
phase41b_classical_candidates,regime_lgbm_hmm,0.05,10.0,-0.6637924434042666,-0.09230271184151041,0.049305555555555554,-0.0544695069419745,2765,1440,0,0.0029983162340869486,230400
phase41b_classical_candidates,regime_lgbm_kmeans,0.05,10.0,-0.10905756928770768,-0.05123922944617782,0.04680555555555556,-0.010090183761763516,2636,1440,0,0.0028389782281130213,230400
phase41b_classical_candidates,regime_lgbm_vol_bucket,0.05,10.0,-0.2836194841189093,-0.05744292273477402,0.05314236111111111,-0.023708385138688448,2988,1440,0,0.005161446312954075,230400
phase39r_repaired_neural,global_lgbm,0.05,10.0,-0.08838252875311108,-0.06194079578052644,0.039461805555555556,-0.008866570521191774,2245,1440,0,0.005806823922675498,230400
phase39r_repaired_neural,regime_lgbm_contrastive,0.05,10.0,-0.7965126732036572,-0.07968030182763444,0.05388888888888889,-0.05973739895651309,3032,1440,0,0.004023349250616495,230400
phase39r_repaired_neural,regime_lgbm_contrastive_hmm,0.05,10.0,-1.1657314915682715,-0.1174539857921031,0.059618055555555556,-0.08512247932779982,3326,1440,0,-0.0013281958614115331,230400
phase39r_repaired_neural,regime_lgbm_hmm,0.05,10.0,-0.26002644119688545,-0.08430233644846744,0.061649305555555554,-0.025781819022320795,3454,1440,0,0.00464733697235591,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_gmm,0.05,10.0,-1.0825540244727647,-0.0976548440765629,0.0665625,-0.08954797972356365,3706,1440,0,0.0017550835484026303,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_hmm,0.05,10.0,-0.7619868865892924,-0.10175821078718804,0.06737847222222222,-0.062093858090291665,3748,1440,0,0.0002813590661404989,230400
phase39r_repaired_neural,regime_lgbm_kmeans,0.05,10.0,-0.209109118647708,-0.04639723169451896,0.05880208333333333,-0.018801340939155198,3293,1440,0,0.003994183873760386,230400
phase39r_repaired_neural,regime_lgbm_vol_bucket,0.05,10.0,-0.29543214694977454,-0.06739059200682254,0.07112847222222222,-0.026698544592958395,3952,1440,0,0.004713485736695823,230400
phase41b_classical_candidates,global_lgbm,0.05,20.0,-0.8655432396806608,-0.0759964655405277,0.03501736111111111,-0.06004994261378738,1992,1440,0,0.00567822231660798,230400
phase41b_classical_candidates,regime_lgbm_hmm,0.05,20.0,-1.5425175571423084,-0.1472464867707641,0.049305555555555554,-0.119283173823298,2765,1440,0,0.0029983162340869486,230400
phase41b_classical_candidates,regime_lgbm_kmeans,0.05,20.0,-1.0229566650165045,-0.09108515183981647,0.04680555555555556,-0.07460236041482782,2636,1440,0,0.0028389782281130213,230400
phase41b_classical_candidates,regime_lgbm_vol_bucket,0.05,20.0,-1.2810662441969038,-0.11854727753388265,0.05314236111111111,-0.09563533760806664,2988,1440,0,0.005161446312954075,230400
phase39r_repaired_neural,global_lgbm,0.05,20.0,-0.8376843385798725,-0.08647308451993369,0.039461805555555556,-0.06361169749065776,2245,1440,0,0.005806823922675498,230400
phase39r_repaired_neural,regime_lgbm_contrastive,0.05,20.0,-1.8358138541711504,-0.1440685438488335,0.05388888888888889,-0.12994757465051154,3032,1440,0,0.004023349250616495,230400
phase39r_repaired_neural,regime_lgbm_contrastive_hmm,0.05,20.0,-2.3137985384662354,-0.1743496258539126,0.059618055555555556,-0.16040143688420105,3326,1440,0,-0.0013281958614115331,230400
phase39r_repaired_neural,regime_lgbm_hmm,0.05,20.0,-1.2586189520933755,-0.1455867047734292,0.061649305555555554,-0.108543881629515,3454,1440,0,0.00464733697235591,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_gmm,0.05,20.0,-2.2219050109343015,-0.17734499707826248,0.0665625,-0.17277020629662898,3706,1440,0,0.0017550835484026303,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_hmm,0.05,20.0,-1.9616293695389986,-0.17300498353513646,0.06737847222222222,-0.14882622994968409,3748,1440,0,0.0002813590661404989,230400
phase39r_repaired_neural,regime_lgbm_kmeans,0.05,20.0,-1.2778682278869076,-0.11136694786999275,0.05880208333333333,-0.09846150144826116,3293,1440,0,0.003994183873760386,230400
phase39r_repaired_neural,regime_lgbm_vol_bucket,0.05,20.0,-1.534320696553655,-0.15017649904467306,0.07112847222222222,-0.12145358809251461,3952,1440,0,0.004713485736695823,230400
phase41b_classical_candidates,global_lgbm,0.05,40.0,-2.3123905719022155,-0.15849421315563186,0.03501736111111111,-0.1502357746431644,1992,1440,0,0.00567822231660798,230400
phase41b_classical_candidates,regime_lgbm_hmm,0.05,40.0,-3.2821903150401437,-0.2510328624747527,0.049305555555555554,-0.23590942011031446,2765,1440,0,0.0029983162340869486,230400
